	target	target_accession	query	query_accesion	full_evalue	full_score	full_bias	best_evalue	best_score	best_bias	exp	reg	clu	ov	env	dom	rep	inc	description	taxid	organism	id	gi	db	status	length
39	ClassB	RF0054	NP_396133.1	-	1.3999999999999998e-26	86.2	0.0	2e-26	85.7	0.0	1.1	1.0	0	0	1	1	1	1	Class B beta-lactamase [ARO:3000004]	176299	Agrobacterium fabrum str. C58	NP_396133.1	16119427	bacteria|complete|plasmid	REVIEWED	359
40	RND_efflux	RF0115	NP_436156.1	-	9.399999999999995e-300	990.0	31.9	1.0999999999999994e-299	989.8	31.9	1.0	1.0	0	0	1	1	1	1	resistance-nodulation-cell division (RND) antibiotic efflux pump [ARO:0010004]	266834	Sinorhizobium meliloti 1021	NP_436156.1	16263363	bacteria|complete|plasmid	PROVISIONAL	1044
41	ClassA	RF0053	NP_436314.1	-	9.899999999999997e-97	316.3	0.0	1.1e-96	316.2	0.0	1.0	1.0	0	0	1	1	1	1	Class A beta-lactamase [ARO:3000078]	266834	Sinorhizobium meliloti 1021	NP_436314.1	16263521	bacteria|complete|plasmid	PROVISIONAL	281
42	ClassA	RF0053	NP_436315.1	-	1.4999999999999997e-56	184.4	0.3	1.1e-31	102.8	0.0	2.0	2.0	0	0	2	2	2	2	Class A beta-lactamase [ARO:3000078]	266834	Sinorhizobium meliloti 1021	NP_436315.1	16263522	bacteria|complete|plasmid	PROVISIONAL	334
43	SubclassB1	RF0123	NP_436708.1	-	2e-14	46.2	0.0	2.8999999999999996e-14	45.8	0.0	1.2	1.0	0	0	1	1	1	1	Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems [ARO:3000568]	266834	Sinorhizobium meliloti 1021	NP_436708.1	16263916	bacteria|complete|plasmid	PROVISIONAL	365
44	ABC_efflux	RF0007	NP_437093.2	-	4.9999999999999994e-92	302.0	0.4	5.999999999999998e-92	301.8	0.4	1.1	1.0	0	0	1	1	1	1	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	266834	Sinorhizobium meliloti 1021	NP_437093.2	195970054	bacteria|complete|plasmid	PROVISIONAL	601
45	ClassC-AmpC	RF0055	NP_437580.1	-	6.199999999999998e-174	571.0	0.0	7.399999999999999e-174	570.7	0.0	1.0	1.0	0	0	1	1	1	1	Class C beta-lactamases [ARO:3000076;ARO:3000019]	266834	Sinorhizobium meliloti 1021	NP_437580.1	16264788	bacteria|complete|plasmid	PROVISIONAL	396
46	ABC_efflux	RF0007	NP_437604.1	-	5.099999999999999e-78	255.8	0.0	7.099999999999999e-78	255.3	0.0	1.2	1.0	0	0	1	1	1	1	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	266834	Sinorhizobium meliloti 1021	NP_437604.1	16264812	bacteria|complete|plasmid	PROVISIONAL	604
47	RND_efflux	RF0115	NP_437868.1	-	5.199999999999998e-296	977.6	33.1	6.299999999999995e-296	977.3	33.1	1.0	1.0	0	0	1	1	1	1	resistance-nodulation-cell division (RND) antibiotic efflux pump [ARO:0010004]	266834	Sinorhizobium meliloti 1021	NP_437868.1	16265076	bacteria|complete|plasmid	PROVISIONAL	1077
48	ABC_efflux	RF0007	NP_443875.1	-	1.7999999999999998e-79	260.6	2.6	2.2999999999999995e-79	260.3	2.6	1.0	1.0	0	0	1	1	1	1	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	394	Sinorhizobium fredii NGR234	NP_443875.1	16519755	bacteria|complete|plasmid	PROVISIONAL	586
49	tet_MFS_efflux	RF0134	NP_478096.2	-	2.5999999999999992e-141	463.9	34.1	3.199999999999999e-141	463.6	34.1	1.0	1.0	0	0	1	1	1	1	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	1718	Corynebacterium glutamicum	NP_478096.2	23928457	bacteria|complete|plasmid	PROVISIONAL	407
50	ANT	RF0166	NP_478099.1	-	9.899999999999999e-86	280.2	0.0	1.1999999999999997e-85	279.9	0.0	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase	1718	Corynebacterium glutamicum	NP_478099.1	17158103	bacteria|complete|plasmid	PROVISIONAL	278
51	APH3	RF0033	NP_478145.1	-	1.1999999999999996e-146	479.9	0.0	1.3e-146	479.8	0.0	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	1717	Corynebacterium diphtheriae	NP_478145.1	17158058	bacteria|complete|plasmid	PROVISIONAL	271
52	ClassD	RF0056	NP_511223.1	-	7.099999999999998e-106	346.0	0.0	7.999999999999999e-106	345.8	0.0	1.0	1.0	0	0	1	1	1	1	Class D beta-lactamases [ARO:3000075;ARO:3000017]	90371	Salmonella enterica subsp. enterica serovar Typhimurium	NP_511223.1	17530625	bacteria|complete|plasmid	PROVISIONAL	275
53	ANT3	RF0027	NP_511224.1	-	3.099999999999999e-166	544.0	1.2	3.3999999999999985e-166	543.9	1.2	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	90371	Salmonella enterica subsp. enterica serovar Typhimurium	NP_511224.1	17530626	bacteria|complete|plasmid	PROVISIONAL	263
54	ClassD	RF0056	NP_511225.1	-	7.099999999999998e-106	346.0	0.0	7.999999999999999e-106	345.8	0.0	1.0	1.0	0	0	1	1	1	1	Class D beta-lactamases [ARO:3000075;ARO:3000017]	90371	Salmonella enterica subsp. enterica serovar Typhimurium	NP_511225.1	17530627	bacteria|complete|plasmid	PROVISIONAL	275
55	TetA	RF0127	NP_511233.1	-	1.4999999999999997e-186	612.8	31.5	1.6999999999999994e-186	612.7	31.5	1.0	1.0	0	0	1	1	1	1	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	90371	Salmonella enterica subsp. enterica serovar Typhimurium	NP_511233.1	17530575	bacteria|complete|plasmid	PROVISIONAL	391
56	Chlor_Acetyltrans_CAT	RF0050	NP_569406.1	-	2.1999999999999997e-85	278.6	5.8	2.6999999999999996e-85	278.4	5.8	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	220341	Salmonella enterica subsp. enterica serovar Typhi str. CT18	NP_569406.1	18466598	bacteria|complete|plasmid	REVIEWED	219
57	TEM	RF0126	NP_569411.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	220341	Salmonella enterica subsp. enterica serovar Typhi str. CT18	NP_569411.1	18466603	bacteria|complete|plasmid	REVIEWED	286
58	APH3''	RF0172	NP_569415.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	220341	Salmonella enterica subsp. enterica serovar Typhi str. CT18	NP_569415.1	18466607	bacteria|complete|plasmid	REVIEWED	267
59	APH6	RF0034	NP_569416.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	220341	Salmonella enterica subsp. enterica serovar Typhi str. CT18	NP_569416.1	18466608	bacteria|complete|plasmid	REVIEWED	278
60	TetA-B	RF0128	NP_569429.1	-	6.899999999999998e-278	913.8	30.6	7.699999999999995e-278	913.6	30.6	1.0	1.0	0	0	1	1	1	1	tetA(B): tetracycline resistance MFS efflux pump [ARO:3000165]	220341	Salmonella enterica subsp. enterica serovar Typhi str. CT18	NP_569429.1	18466621	bacteria|complete|plasmid	REVIEWED	401
61	Chlor_Acetyltrans_CAT	RF0050	NP_573537.1	-	3.599999999999999e-87	284.5	1.0	3.8999999999999994e-87	284.4	1.0	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	85404	Mannheimia varigena	NP_573537.1	18875441	bacteria|complete|plasmid	PROVISIONAL	213
62	APH3''	RF0172	NP_573538.1	-	2.799999999999999e-155	508.3	0.1	3.3999999999999988e-155	508.0	0.1	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	85404	Mannheimia varigena	NP_573538.1	18875442	bacteria|complete|plasmid	PROVISIONAL	263
63	AAC6-Ib	RF0005	NP_608307.1	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	573	Klebsiella pneumoniae	NP_608307.1	19774238	bacteria|complete|plasmid	PROVISIONAL	201
64	ANT3	RF0027	NP_608308.1	-	8.999999999999997e-167	545.8	1.1	9.999999999999997e-167	545.6	1.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	573	Klebsiella pneumoniae	NP_608308.1	19774239	bacteria|complete|plasmid	PROVISIONAL	262
65	ClassD	RF0056	NP_608309.2	-	8.899999999999998e-68	221.1	0.0	9.899999999999998e-68	220.9	0.0	1.0	1.0	0	0	1	1	1	1	Class D beta-lactamases [ARO:3000075;ARO:3000017]	573	Klebsiella pneumoniae	NP_608309.2	25071200	bacteria|complete|plasmid	PROVISIONAL	274
66	TEM	RF0126	NP_608310.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	573	Klebsiella pneumoniae	NP_608310.1	19774241	bacteria|complete|plasmid	PROVISIONAL	286
67	ErmB	RF0070	NP_613080.1	-	1.4999999999999993e-172	564.4	16.1	1.6999999999999994e-172	564.3	16.1	1.0	1.0	0	0	1	1	1	1	ErmB: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000375]	1598	Lactobacillus reuteri	NP_613080.1	20069865	bacteria|complete|plasmid	PROVISIONAL	250
68	APH3	RF0033	NP_640131.1	-	1.3999999999999999e-145	476.4	0.0	1.5999999999999997e-145	476.3	0.0	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	585	Proteus vulgaris	NP_640131.1	21233833	bacteria|complete|plasmid	PROVISIONAL	271
69	TEM	RF0126	NP_758767.1	-	6.699999999999997e-199	651.8	0.0	7.499999999999997e-199	651.7	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	889211	Erwinia amylovora ATCC BAA-2158	NP_758767.1	27228440	bacteria|complete|plasmid	PROVISIONAL	283
70	CTXM	RF0059	NP_774964.1	-	4.699999999999998e-193	632.8	4.5	5.199999999999998e-193	632.6	4.5	1.0	1.0	0	0	1	1	1	1	CTX-M beta-lactamase (class a) [ARO:3000016]	546	Citrobacter freundii	NP_774964.1	27383434	bacteria|complete|plasmid	PROVISIONAL	291
71	TEM	RF0126	NP_775035.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	546	Citrobacter freundii	NP_775035.1	27383504	bacteria|complete|plasmid	PROVISIONAL	286
72	AAC3	RF0002	NP_775040.1	-	3.3999999999999996e-146	478.6	0.4	3.899999999999999e-146	478.4	0.4	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	546	Citrobacter freundii	NP_775040.1	27383509	bacteria|complete|plasmid	PROVISIONAL	286
73	ANT3	RF0027	NP_775045.1	-	2.499999999999999e-168	550.9	0.8	2.7999999999999993e-168	550.7	0.8	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	546	Citrobacter freundii	NP_775045.1	27383513	bacteria|complete|plasmid	PROVISIONAL	263
74	16S_rRNA_methyltrans	RF0001	NP_775050.1	-	8.799999999999998e-125	408.2	6.0	9.899999999999997e-125	408.1	6.0	1.0	1.0	0	0	1	1	1	1	16S ribosomal RNA methyltransferase [ARO:3000857]	546	Citrobacter freundii	NP_775050.1	27383517	bacteria|complete|plasmid	PROVISIONAL	257
75	ABC_efflux	RF0007	NP_775053.1	-	1e-85	281.2	3.8	1.2999999999999998e-85	280.9	3.8	1.0	1.0	0	0	1	1	1	1	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	546	Citrobacter freundii	NP_775053.1	27383520	bacteria|complete|plasmid	PROVISIONAL	491
76	ErmB	RF0070	NP_776205.1	-	1.4999999999999993e-172	564.4	16.1	1.6999999999999994e-172	564.3	16.1	1.0	1.0	0	0	1	1	1	1	ErmB: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000375]	1598	Lactobacillus reuteri	NP_776205.1	27753648	bacteria|complete|plasmid	PROVISIONAL	250
77	Erm23S_rRNA_methyltrans	RF0067	NP_783844.1	-	3.7e-89	291.3	1.0	3.9999999999999995e-89	291.1	1.0	1.0	1.0	0	0	1	1	1	1	Emr 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000560]	1613	Lactobacillus fermentum	NP_783844.1	28373207	bacteria|complete|plasmid	PROVISIONAL	245
78	ErmB	RF0070	NP_816938.1	-	1.2999999999999997e-173	567.9	16.3	1.4999999999999993e-173	567.7	16.3	1.0	1.0	0	0	1	1	1	1	ErmB: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000375]	226185	Enterococcus faecalis V583	NP_816938.1	29377810	bacteria|complete|plasmid	REVIEWED	245
79	APH3	RF0033	NP_816984.1	-	1.8e-18	59.8	0.1	3e-18	59.1	0.1	1.3	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	226185	Enterococcus faecalis V583	NP_816984.1	29377856	bacteria|complete|plasmid	REVIEWED	479
80	TetA-G	RF0129	NP_848166.1	-	9.099999999999996e-199	653.1	26.3	1.0999999999999996e-198	652.9	26.3	1.0	1.0	0	0	1	1	1	1	tetA(G): tetracycline resistance MFS efflux pump [ARO:3000165]	747	Pasteurella multocida	NP_848166.1	30387187	bacteria|complete|plasmid	PROVISIONAL	308
81	Chlor_Acetyltrans_CAT	RF0050	NP_848167.1	-	1.8e-51	167.8	0.0	2.0999999999999997e-51	167.6	0.0	1.0	1.0	0	0	1	1	1	1	chloramphenicol acetyltransferase (CAT) [ARO:3000122]	747	Pasteurella multocida	NP_848167.1	30387188	bacteria|complete|plasmid	PROVISIONAL	210
